,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
147,REDMI Note 12 5G,Mystique Blue,128,6,5000,48,13,Qualcomm Snapdragon 4 Gen 1,18999.0,13+48,6+128
148,Infinix NOTE 12i,Force Black,64,4,5000,50,8,Mediatek Helio G85,9999.0,8+50,4+64
149,REDMI Note 12 5G,Matte Black,128,4,5000,48,13,Qualcomm Snapdragon 4 Gen 1,16999.0,13+48,4+128
150,REDMI Note 12 5G,Mystique Blue,128,4,5000,48,13,Qualcomm Snapdragon 4 Gen 1,16999.0,13+48,4+128
151,Infinix HOT 20 5G,Racing Black,64,4,5000,50,8,Dimensity 810,11499.0,8+50,4+64
152,micromax 3,Racing Black,64,4,800,2,0,0 0 0 208MHz,2490.0,2,4+64
153,SAMSUNG Galaxy M04,Dark Blue,64,4,5000,13,5,MediaTek Helio P35,7961.0,5+13,4+64
154,MOTOROLA Edge 40,Nebula Green,256,8,4400,50,32,Dimensity 8020,29999.0,32+50,8+256
155,micromax 2,Nebula Green,256,8,800,0,0,SC6531E,1299.0,0,8+256
156,micromax 3,Nebula Green,256,4,1020,2,0,MediaTek,2499.0,2,4+256
157,REDMI 11 Prime,Flashy Black,128,6,5000,50,8,Helio G99,11999.0,8+50,6+128
158,REDMI 11 Prime,Peppy Purple,128,6,5000,50,8,Helio G99,11999.0,8+50,6+128
159,REDMI K50i 5G,Stealth Black,256,8,5080,64,16,Dimensity 8100,23999.0,16+64,8+256
160,MOTOROLA e40,Carbon Gray,64,4,5000,48,8,UNISOC T700,8999.0,8+48,4+64
161,REDMI 9 Activ,Coral Green,128,6,5000,13,5,Mediatek Helio G35,9499.0,5+13,6+128
162,REDMI Note 12,Ice Blue,64,6,5000,50,13,Snapdragon 685,14999.0,13+50,6+64
163,SAMSUNG Galaxy F23 5G,Copper Blush,128,6,5000,50,8,Qualcomm Snapdragon 750G,16999.0,8+50,6+128
164,MOTOROLA g42,Atlantic Green,64,4,5000,50,16,Qualcomm Snapdragon 680,11248.0,16+50,4+64
165,realme C25s,Watery Grey,128,4,6000,13,8,MediaTek Helio G85,9999.0,8+13,4+128
166,POCO X5 Pro 5G,Horizon Blue,256,8,5000,108,16,Qualcomm Snapdragon 778G,23999.0,16+108,8+256
167,realme 8i,Space Purple,128,6,5000,50,16,MediaTek Helio G96,17999.0,16+50,6+128
168,realme 10,Clash White,128,8,5000,50,16,Mediatek Helio G99 Octa Core,15499.0,16+50,8+128
169,MOTOROLA e13,Cosmic Black,64,2,5000,13,5,Unisoc T606,6799.0,5+13,2+64
170,SAMSUNG Galaxy F23 5G,Forest Green,128,6,5000,50,8,Qualcomm Snapdragon 750G,16999.0,8+50,6+128
171,POCO M3 Pro 5G,Yellow,128,6,5000,48,8,MediaTek Dimensity 700,14499.0,8+48,6+128
172,Infinix Smart 6 HD,Force Black,32,2,5000,8,5,Mediatek Helio A22,5999.0,5+8,2+32
173,Infinix Smart 6 HD,Aqua Sky,32,2,5000,8,5,Mediatek Helio A22,5999.0,5+8,2+32
174,Infinix Smart 6 HD,Origin Blue,32,2,5000,8,5,Mediatek Helio A22,5999.0,5+8,2+32
175,POCO X5 Pro 5G,Astral Black,256,8,5000,108,16,Qualcomm Snapdragon 778G,23999.0,16+108,8+256
176,REDMI Note 12 5G,Frosted Green,128,4,5000,48,13,Qualcomm Snapdragon 4 Gen 1,16999.0,13+48,4+128
177,REDMI Note 12,Lunar Black,64,6,5000,50,13,Snapdragon 685,14999.0,13+50,6+64
178,Infinix Hot 20 5G,Blaster Green,128,6,5000,50,8,Dimensity 810,13499.0,8+50,6+128
179,realme C31,Dark Green,64,4,5000,13,5,Unisoc T612,8749.0,5+13,4+64
180,realme C31,Light Silver,32,3,5000,13,5,Unisoc T612,8049.0,5+13,3+32
181,micromax,Light Silver,32,3,2550,0,0,SC6531E,1375.0,0,3+32
182,micromax1,Light Silver,32,3,800,0,0,SC6531E,1599.0,0,3+32
183,OPPO A17,Lake Blue,64,4,5000,50,5,Mediatek Helio G35,12499.0,5+50,4+64
184,realme 9 5G SE,Azure Glow,128,8,5000,48,16,Qualcomm Snapdragon 778G,17999.0,16+48,8+128
185,realme 9 5G SE,Starry Glow,128,8,5000,48,16,Qualcomm Snapdragon 778G,17999.0,16+48,8+128
186,realme 9i 5G,Soulful Blue,128,6,5000,50,8,Mediatek Dimensity 810 5G,16999.0,8+50,6+128
