,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
512,vivo V25 5G,Elegant Black,256,8,4500,64,50,Mediatek Dimensity 900,29418.0,50+64,8+256
513,vivo V25 Pro 5G,Sailing Blue,256,8,4830,64,32,Mediatek Dimensity 1300,33367.0,32+64,8+256
514,MOTOROLA g31,Meteorite Grey,64,4,5000,50,13,Mediatek Helio G85,11999.0,13+50,4+64
515,SAMSUNG Galaxy A54 5G,Awesome Violet,256,8,5000,50,32,"Exynos 1380, Octa Core ",34265.0,32+50,8+256
516,realme C11 2021,Cool Grey,32,2,5000,8,5,Octa-core,7499.0,5+8,2+32
517,vivo Y21T,Pearl White,128,4,5000,50,8,Qualcomm Snapdragon 680,15499.0,8+50,4+128
518,REDMI K50i 5G,Phantom Blue,256,8,5080,64,16,Dimensity 8100,29990.0,16+64,8+256
519,Tecno Spark Go 2023,Nebula Purple,32,3,5000,13,5,MediaTek Helio A22,7280.0,5+13,3+32
520,APPLE iPhone 14 Plus,Purple,128,3,4323,12,12,6 Core,34265.0,12+12,3+128
521,Tecno Spark Go 2023,UYUNI BLUE,64,4,5000,13,5,Mediatek Helio A22,8999.0,5+13,4+64
522,IQOO Neo 7 5G,Frost Blue,256,4,5000,64,16,Dimensity 8200,34265.0,16+64,4+256
523,realme 9 5G,Meteor Black,64,4,5000,48,16,Mediatek Dimensity 810,13499.0,16+48,4+64
524,realme 9 5G,Supersonic Black,64,4,5000,48,16,Mediatek Dimensity 810,13499.0,16+48,4+64
525,APPLE iPhone 14 Plus,Starlight,128,4,4323,12,12,ios,34265.0,12+12,4+128
526,vivo Y100 5G,Metal Black,128,8,4500,64,16,Mediatek Dimensity 900,23999.0,16+64,8+128
527,vivo Y100 5G,Twilight Gold,128,8,4500,64,16,Mediatek Dimensity 900,23999.0,16+64,8+128
528,SAMSUNG Galaxy A23,Blue,128,6,5000,50,8,Octa-core(EXYNOS),17499.0,8+50,6+128
529,realme Narzo 50i Prime,Mint Green,64,4,5000,8,5,Unisoc T612 processor,8460.0,5+8,4+64
530,SAMSUNG Galaxy A04,Copper,128,4,5000,50,5,Mediatek Helio P35,12999.0,5+50,4+128
531,OPPO F21s Pro,Starlight Black,128,8,4500,64,16,Qualcomm SM6225 Snapdragon 680 4G (6 nm),20890.0,16+64,8+128
532,APPLE iPhone 12,Blue,64,8,2815,12,12,ios,34265.0,12+12,8+64
533,SAMSUNG Galaxy A13,Peach,128,6,5000,50,8,Exynos Octa Core,16499.0,8+50,6+128
534,Nokia G11 Plus,Grey,64,4,5000,50,8,Octa Core,9790.0,8+50,4+64
535,SAMSUNG Galaxy A04e,Light Blue,64,3,5000,13,5,Mediatek Helio P35,9999.0,5+13,3+64
536,SAMSUNG Galaxy S23 5G,Cream,256,8,3900,50,12,Qualcomm Snapdragon 8 Gen 2,34265.0,12+50,8+256
537,LAVA Z21,Cyan,32,2,3100,5,2,Octa Core,5998.0,2+5,2+32
538,Tecno Spark 8T,Turquoise Cyan,64,4,5000,50,8,MediaTek Helio G35,9990.0,8+50,4+64
539,SAMSUNG Galaxy A54 5G,Awesome Lime,128,8,5000,50,32,"Exynos 1380, Octa Core ",34265.0,32+50,8+128
540,OPPO A77,Sky Blue,128,4,5000,50,8,Mediatek Helio G35,15999.0,8+50,4+128
